"country_name","Job","Democracy"
"Algeria",1.61538461538462,3.44316877152698
"Azerbaijan",1.33261802575107,3.14914163090129
"Argentina",2.5731272294887,3.48275862068966
"Australia",2.64941690962099,3.54008746355685
"Armenia",1.80817253121453,3.45402951191827
"Brazil",2.59294117647059,3.07843137254902
"Belarus",2.20821529745042,3.15368271954674
"Chile",2.43489254108723,3.4905183312263
"China",2.03988603988604,3.23361823361823
"Taiwan ROC",2.07837582625118,3.24173748819641
"Colombia",2.43530291697831,3.12041884816754
"Cyprus",2.26982378854626,3.6057268722467
"Ecuador",2.34893617021277,3.35404255319149
"Estonia",2.43143544506816,3.15076182838813
"Georgia",2.0061099796334,3.37983706720978
"Palestine",1.55909090909091,3.35909090909091
"Germany",2.50612679808205,3.6259989344699
"Ghana",1.96971649484536,3.74742268041237
"Haiti",1.97615344738206,2.87765681700363
"Hong Kong SAR",2.14256619144603,3.06619144602851
"India",1.70044353462982,3.47253497099966
"Iraq",1.50869167429094,3.38609332113449
"Japan",1.86561264822134,3.23814229249012
"Kazakhstan",1.842,3.284
"Jordan",1.32839962997225,3.37742830712303
"South Korea",1.96031061259707,2.93615185504745
"Kuwait",1.56533827618165,3.28266913809082
"Kyrgyzstan",1.79043126684636,2.93126684636119
"Lebanon",1.9304435483871,3.17741935483871
"Libya",1.4638619201726,3.53451995685005
"Malaysia",1.61307692307692,3.38846153846154
"Mexico",2.54626708727655,3.00841219768665
"Morocco",1.76470588235294,3.72794117647059
"Netherlands",2.72067901234568,3.35108024691358
"New Zealand",2.74350086655113,3.49220103986135
"Nigeria",1.61057418988061,3.52757248436612
"Pakistan",1.49722222222222,3.08981481481481
"Peru",2.47755102040816,3.36530612244898
"Philippines",1.6225614927905,3.04240882103478
"Poland",2.32323232323232,3.03896103896104
"Romania",1.97614991482112,3.34497444633731
"Russia",2.10241980866629,3.00112549240293
"Rwanda",1.92730844793713,3.49574328749181
"Singapore",2.09095528455285,3.24644308943089
"Slovenia",2.72184684684685,3.06306306306306
"South Africa",2.16036805783766,3.00624383831745
"Zimbabwe",2.24333333333333,3.702
"Spain",2.70702702702703,3.56
"Sweden",2.92575618698442,3.6993583868011
"Thailand",2.08614864864865,3.58530405405405
"Trinidad and Tobago",2.40996168582375,3.32694763729246
"Tunisia",1.43131313131313,3.55757575757576
"Turkey",1.66898148148148,3.38811728395062
"Ukraine",2.19520789288231,3.16138125440451
"Egypt",1.22894736842105,3.66842105263158
"United States",2.64655984919887,3.20452403393025
"Uruguay",2.40571428571429,3.43142857142857
"Uzbekistan",1.69552529182879,3.66731517509728
"Yemen",1.38159675236807,3.36535859269283
